city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
Pearland,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,American Indian and Alaska Native,851,944892805128
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,Asian,45059,953482739712
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,Black or African-American,5136,953482739713
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,Black or African-American,7561,953482739714
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,Asian,5173,953482739715
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,Hispanic or Latino,110335,953482739716
Fremont,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,White,67294,953482739717
Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL,White,51123,953482739718
Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,American Indian and Alaska Native,964,953482739719
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67,GA,White,77940,953482739720
Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,Hispanic or Latino,130656,953482739721
Costa Mesa,California,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59,CA,White,87320,953482739722
Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,Black or African-American,11240,953482739723
Tempe,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,Black or African-American,11293,953482739724
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,American Indian and Alaska Native,42129,953482739725
Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,American Indian and Alaska Native,656,953482739726
Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,White,85620,953482739727
Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,American Indian and Alaska Native,2178,953482739728
Alameda,California,41.4,37747.0,40867.0,78614,4504.0,18841.0,2.52,CA,Asian,27984,953482739729
Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,White,71915,953482739730
Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA,American Indian and Alaska Native,3638,953482739731
Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,Asian,10035,953482739732
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,Black or African-American,404868,953482739733
Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,Asian,15205,962072674304
Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,Asian,24268,962072674305
Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,Hispanic or Latino,4328,962072674306
Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Asian,8949,962072674307
Buena Park,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,American Indian and Alaska Native,361,962072674308
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,White,411847,962072674309
Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,American Indian and Alaska Native,2186,962072674310
Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,American Indian and Alaska Native,8380,962072674311
Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,Black or African-American,57089,962072674312
Livermore,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,White,73440,962072674313
Oxnard,California,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08,CA,White,165423,962072674314
Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,Hispanic or Latino,15325,970662608896
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,Black or African-American,20564,970662608897
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,American Indian and Alaska Native,839,970662608898
Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,Asian,8748,970662608899
Tempe,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,American Indian and Alaska Native,4636,970662608900
Pearland,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,Black or African-American,23779,970662608901
Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,White,108035,970662608902
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,Black or African-American,84987,970662608903
Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,White,55919,970662608904
Chesapeake,Virginia,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73,VA,Black or African-American,73850,979252543488
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,Hispanic or Latino,8840,979252543489
Menifee,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA,Hispanic or Latino,29790,979252543490
Pasadena,Texas,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95,TX,Asian,1570,979252543491
Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,White,839169,979252543492
Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,American Indian and Alaska Native,128,979252543493
Macon,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,Hispanic or Latino,4897,979252543494
Garden Grove,California,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66,CA,Asian,71737,979252543495
Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,Black or African-American,5195,979252543496
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95,PA,Asian,903,979252543497
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,Black or African-American,18240,987842478080
Brandon,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,Asian,9440,987842478081
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,American Indian and Alaska Native,1574,987842478082
Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,White,40030,987842478083
Conroe,Texas,31.5,34907.0,33685.0,68592,4871.0,13839.0,2.65,TX,Hispanic or Latino,23863,987842478084
Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,American Indian and Alaska Native,1439,987842478085
Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,Black or African-American,5631,987842478086
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,American Indian and Alaska Native,32243,987842478087
Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,Black or African-American,6279,987842478088
East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,White,48980,987842478089
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Black or African-American,51493,987842478090
San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,Hispanic or Latino,35164,987842478091
Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL,White,107148,987842478092
Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA,American Indian and Alaska Native,1133,996432412672
Sioux City,Iowa,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57,IA,White,70513,996432412673
Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,White,88742,996432412674
Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,Asian,2776,996432412675
Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,American Indian and Alaska Native,4590,996432412676
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,Asian,1853,996432412677
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67,AL,American Indian and Alaska Native,261,996432412678
Cleveland,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,Black or African-American,205395,996432412679
Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ,Asian,1180,996432412680
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,Hispanic or Latino,16786,996432412681
Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,Black or African-American,23227,996432412682
Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,White,30824,996432412683
Whittier,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,American Indian and Alaska Native,680,996432412684
Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,White,120282,996432412685
Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,American Indian and Alaska Native,1420,996432412686
Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,Hispanic or Latino,13970,996432412687
Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,White,45622,996432412688
Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,American Indian and Alaska Native,2370,996432412689
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL,Asian,7967,1005022347264
Santa Clarita,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA,American Indian and Alaska Native,4441,1005022347265
West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,Hispanic or Latino,58907,1005022347266
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,American Indian and Alaska Native,1068,1005022347267
Reno,Nevada,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46,NV,Hispanic or Latino,59902,1005022347268
Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,Black or African-American,27491,1005022347269
Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,Black or African-American,245367,1005022347270
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,Black or African-American,6089,1005022347271
Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,American Indian and Alaska Native,265,1005022347272
Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,American Indian and Alaska Native,2800,1005022347273
Cary,North Carolina,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61,NC,Hispanic or Latino,10327,1013612281856
Jackson,Mississippi,31.7,79039.0,91772.0,170811,8146.0,1789.0,2.65,MS,Hispanic or Latino,3017,1013612281857
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,White,74551,1013612281858
Dale City,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA,Hispanic or Latino,23868,1013612281859
Cleveland,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,American Indian and Alaska Native,6140,1013612281860
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,American Indian and Alaska Native,1675,1013612281861
Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,American Indian and Alaska Native,1857,1013612281862
Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Hispanic or Latino,33630,1022202216448
Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,Asian,6549,1022202216449
Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,Black or African-American,5060,1022202216450
Waterloo,Iowa,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42,IA,Asian,1636,1022202216451
Scranton,Pennsylvania,38.5,37975.0,39137.0,77112,5059.0,8069.0,2.39,PA,Black or African-American,6256,1022202216452
Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,41843.0,80165.0,2.58,OK,Black or African-American,111673,1022202216453
Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA,Asian,54317,1022202216454
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,Hispanic or Latino,22169,1022202216455
Irving,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX,Asian,49421,1022202216456
Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,Black or African-American,95366,1022202216457
Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,White,64106,1022202216458
Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Black or African-American,3891,1022202216459
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,Hispanic or Latino,33250,1022202216460
Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,American Indian and Alaska Native,251,1030792151040
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,Hispanic or Latino,13780,1030792151041
San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA,Hispanic or Latino,132114,1030792151042
West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,White,100150,1030792151043
Jackson,Mississippi,31.7,79039.0,91772.0,170811,8146.0,1789.0,2.65,MS,Asian,864,1030792151044
Broomfield,Colorado,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53,CO,Black or African-American,1154,1030792151045
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67,GA,American Indian and Alaska Native,1667,1030792151046
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,Hispanic or Latino,85543,1030792151047
Santa Clarita,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA,Black or African-American,9223,1030792151048
McKinney,Texas,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91,TX,Hispanic or Latino,31705,1030792151049
Longview,Texas,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55,TX,Hispanic or Latino,17614,1030792151050
Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,Asian,15505,1030792151051
Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,Black or African-American,64223,1039382085632
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,Asian,18441,1039382085633
Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,White,58798,1039382085634
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,Hispanic or Latino,18336,1039382085635
Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,Asian,8563,1039382085636
Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,American Indian and Alaska Native,3462,1039382085637
Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,Black or African-American,46072,1039382085638
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Asian,14066,1039382085639
Palatine,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,Asian,8145,1039382085640
Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,Asian,58174,1039382085641
Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,Hispanic or Latino,12236,1039382085642
Temple,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,Hispanic or Latino,21372,1039382085643
Oceanside,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72,CA,American Indian and Alaska Native,2452,1039382085644
Naperville,Illinois,38.5,71365.0,75794.0,147159,4545.0,30399.0,2.76,IL,Asian,31221,1039382085645
New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,Black or African-American,2192248,1039382085646
Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ,White,54885,1039382085647
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,White,62194,1047972020224
Longview,Texas,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55,TX,Black or African-American,19904,1047972020225
Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,American Indian and Alaska Native,4902,1047972020226
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,Black or African-American,725,1047972020227
Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,Hispanic or Latino,9795,1047972020228
New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,Asian,4218,1047972020229
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,White,46362,1047972020230
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,Asian,3447,1047972020231
Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,White,60793,1047972020232
Temple,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,White,54698,1047972020233
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,Hispanic or Latino,23225,1047972020234
Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97,IL,White,76126,1047972020235
Menifee,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA,American Indian and Alaska Native,1639,1047972020236
Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,American Indian and Alaska Native,16044,1056561954816
Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,Black or African-American,17172,1056561954817
Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI,White,87383,1056561954818
Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,American Indian and Alaska Native,1813,1056561954819
Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,,PR,Hispanic or Latino,139967,1056561954820
Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL,Asian,2634,1056561954821
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,4744.0,6313.0,2.28,AR,Asian,4707,1056561954822
Boise,Idaho,34.9,110099.0,108181.0,218280,16004.0,13409.0,2.61,ID,Black or African-American,4413,1056561954823
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,American Indian and Alaska Native,1622,1056561954824
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,Asian,1444,1056561954825
Miami,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,Black or African-American,87331,1056561954826
Joliet,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL,Black or African-American,27883,1056561954827
Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,Hispanic or Latino,7545,1056561954828
Boca Raton,Florida,47.3,44760.0,48466.0,93226,4367.0,21117.0,2.22,FL,American Indian and Alaska Native,556,1056561954829
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,Hispanic or Latino,2811,1056561954830
League City,Texas,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72,TX,Hispanic or Latino,14868,1056561954831
Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,American Indian and Alaska Native,7357,1065151889408
Waterloo,Iowa,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42,IA,Hispanic or Latino,4961,1065151889409
Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,Black or African-American,81861,1065151889410
Springdale,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,White,56843,1065151889411
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,Black or African-American,59918,1065151889412
Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Black or African-American,4729,1065151889413
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,American Indian and Alaska Native,681,1073741824000
Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,Asian,7061,1073741824001
Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,Black or African-American,18191,1073741824002
Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,Asian,58360,1073741824003
Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,Black or African-American,118228,1073741824004
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,American Indian and Alaska Native,41748,1073741824005
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21,TN,White,145055,1073741824006
Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,Asian,46560,1073741824007
Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,Hispanic or Latino,4945,1073741824008
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,Asian,66403,1073741824009
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,Black or African-American,248149,1073741824010
McKinney,Texas,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91,TX,Black or African-American,16689,1073741824011
Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,Hispanic or Latino,35911,1073741824012
Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,American Indian and Alaska Native,438,1073741824013
Ontario,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA,White,74765,1073741824014
Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,Hispanic or Latino,32600,1073741824015
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA,Black or African-American,1192,1073741824016
Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,Black or African-American,26778,1073741824017
Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4,RI,White,76999,1073741824018
Brentwood,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY,Asian,1647,1073741824019
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,Hispanic or Latino,1972,1073741824020
Hemet,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97,CA,Asian,3697,1073741824021
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,Black or African-American,124108,1082331758592
Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,American Indian and Alaska Native,2167,1082331758593
Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Black or African-American,90625,1082331758594
Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,American Indian and Alaska Native,6603,1082331758595
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67,AL,Asian,2733,1082331758596
Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,Asian,3249,1082331758597
Gainesville,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL,American Indian and Alaska Native,740,1082331758598
Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,Asian,20082,1082331758599
Joliet,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL,American Indian and Alaska Native,523,1082331758600
Hammond,Indiana,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61,IN,American Indian and Alaska Native,1509,1082331758601
Medford,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Hispanic or Latino,14294,1082331758602
Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,American Indian and Alaska Native,3259,1082331758603
Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,American Indian and Alaska Native,4838,1082331758604
Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,American Indian and Alaska Native,2534,1082331758605
Boise,Idaho,34.9,110099.0,108181.0,218280,16004.0,13409.0,2.61,ID,Hispanic or Latino,19480,1082331758606
Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,White,43766,1082331758607
Rockville,Maryland,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6,MD,Hispanic or Latino,9197,1082331758608
San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA,Black or African-American,53270,1082331758609
Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,Hispanic or Latino,296133,1082331758610
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,White,60648,1090921693184
West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,Hispanic or Latino,21315,1090921693185
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,American Indian and Alaska Native,10813,1090921693186
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,Black or African-American,6389,1090921693187
San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,Hispanic or Latino,18733,1090921693188
Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,Black or African-American,11255,1090921693189
Union City,New Jersey,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85,NJ,White,50031,1090921693190
Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,3981.0,4701.0,2.53,SC,Black or African-American,3730,1090921693191
Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,American Indian and Alaska Native,5965,1090921693192
Pasadena,Texas,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95,TX,Hispanic or Latino,105871,1090921693193
Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,American Indian and Alaska Native,2947,1090921693194
San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,White,86655,1090921693195
San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,Asian,34019,1090921693196
